264×10 DataFrame
 Row │ Nome                      n        nnz        metodo  it       normg        normg_c      xnorm        st   tempo
     │ Any                       Any      Any        Any     Any      Any          Any          Any          Any  Any
─────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 136 │ CEMW/tmt_sym              726713   5080961    cg      108      4.9182e-8    4.9182e-8    9.28015e-8   0    0.818872
 137 │ CEMW/tmt_sym              726713   5080961    cr      110      1.78192e-8   1.78192e-8   9.28343e-8   0    0.877471
 138 │ CEMW/tmt_sym              726713   5080961    dwgm    110      1.91798e-8   1.24362e-7   9.98752e-8   0    1.02185
 139 │ Oberwolfach/boneS10       914898   40878708   cg      42693    7.92053e-9   8.13816e-9   9.99584e-8   0    1034.54
 140 │ Oberwolfach/boneS10       914898   40878708   cr      43035    2.38454e-9   2.43256e-9   9.99909e-8   0    1065.39
 141 │ Oberwolfach/boneS10       914898   40878708   dwgm    43040    2.3735e-9    0.00135928   9.99448e-8   0    1150.94
 142 │ GHS_psdef/ldoor           952203   42493817   cg      44143    8.97757e-8   2.04146e-6   3.57798e-11  0    982.344
 143 │ GHS_psdef/ldoor           952203   42493817   cr      39560    9.99591e-8   1.61212e-6   3.00819e-9   0    920.122
 144 │ GHS_psdef/ldoor           952203   42493817   dwgm    39742    9.99361e-8   0.298813     3.08879e-9   0    991.967
 145 │ Oberwolfach/bone010       986703   47851783   cg      16803    5.95432e-8   5.95401e-8   9.86456e-8   0    487.051
 146 │ Oberwolfach/bone010       986703   47851783   cr      17652    5.04238e-11  6.14818e-10  9.98424e-8   0    527.581
 147 │ Oberwolfach/bone010       986703   47851783   dwgm    17357    4.3314e-11   0.0363954    9.89698e-8   0    552.68
 148 │ McRae/ecology2            999999   4995991    cg      5952     3.54827e-9   3.54815e-9   9.9054e-8    0    42.5252
 149 │ McRae/ecology2            999999   4995991    cr      6038     1.80174e-10  1.80212e-10  9.97118e-8   0    47.925
 150 │ McRae/ecology2            999999   4995991    dwgm    6038     1.80175e-10  4.29692e-7   9.97229e-8   0    59.0257
 151 │ Schmid/thermal2           1228045  8580313    cg      56       2.24685e-8   2.24685e-8   8.34421e-8   0    1.00427
 152 │ Schmid/thermal2           1228045  8580313    cr      57       2.57397e-8   2.57397e-8   9.57673e-8   0    1.08882
 153 │ Schmid/thermal2           1228045  8580313    dwgm    57       2.57397e-8   1.17123e-7   9.57673e-8   0    1.20814
 154 │ Janna/Serena              1391349  64131971   cg      88248    8.77067e-8   1.82642      2.53131e-13  0    2861.78
 155 │ Janna/Serena              1391349  64131971   cr      84551    9.98312e-8   2.16846      1.32283e-12  0    2843.25
 156 │ Janna/Serena              1391349  64131971   dwgm    6956745  NaN          NaN          NaN          1    2.95229e5
 157 │ Janna/Geo_1438            1437960  60236322   cg      80531    9.49531e-8   0.27832      1.89672e-11  0    2514.96
 158 │ Janna/Geo_1438            1437960  60236322   cr      73327    9.99607e-8   0.348877     1.71516e-11  0    2377.48
 159 │ Janna/Geo_1438            1437960  60236322   dwgm    7189800  NaN          NaN          NaN          1    2.56001e5
 160 │ Janna/Hook_1498           1498023  59374451   cg      9145     9.97564e-8   1.00583e-7   1.73142e-11  0    292.896
 161 │ Janna/Hook_1498           1498023  59374451   cr      8831     8.08958e-8   8.02393e-8   5.22187e-8   0    288.233
 162 │ Janna/Hook_1498           1498023  59374451   dwgm    8843     9.9526e-8    0.000406348  8.83247e-8   0    318.177
 163 │ Janna/Flan_1565           1564794  114165372  cg      23314    9.71693e-8   5.75557e-7   4.58277e-10  0    1119.05
 164 │ Janna/Flan_1565           1564794  114165372  cr      20016    9.90022e-8   5.71832e-7   2.88034e-9   0    986.717
 165 │ Janna/Flan_1565           1564794  114165372  dwgm    20029    9.87726e-8   0.96237      3.42379e-9   0    1047.61
 166 │ AMD/G3_circuit            1585478  7660826    cg      14229    5.91815e-8   5.91099e-8   9.96115e-8   0    181.213
 167 │ AMD/G3_circuit            1585478  7660826    cr      14575    5.586e-10    5.58602e-10  9.99914e-8   0    195.222
 168 │ AMD/G3_circuit            1585478  7660826    dwgm    14613    5.58655e-10  0.000100176  9.99597e-8   0    257.837
 169 │ Boeing/bcsstk36           23052    1143140    cg      115260   3.87785      3.87786      1.26398      1    49.1835
 170 │ Boeing/bcsstk36           23052    1143140    cr      115260   0.00888392   0.00888392   1.27748      1    50.0787
 171 │ Boeing/bcsstk36           23052    1143140    dwgm    115260   0.00979087   0.69629      1.27913      1    52.4318
 172 │ Boeing/msc23052           23052    1142686    cg      115260   15.3208      15.3208      1.26442      1    50.9323
 173 │ Boeing/msc23052           23052    1142686    cr      115260   0.0355354    0.0355354    1.2777       1    51.6289
 174 │ Boeing/msc23052           23052    1142686    dwgm    115260   0.0395003    2.79849      1.27938      1    53.5398
 175 │ Boeing/crystm03           24696    583770     cg      103      1.43026e-21  1.43026e-21  8.33868e-8   0    0.026716
 176 │ Boeing/crystm03           24696    583770     cr      106      7.00495e-22  7.00495e-22  9.27171e-8   0    0.0284432
 177 │ Boeing/crystm03           24696    583770     dwgm    106      6.96086e-22  1.39811e-20  9.21659e-8   0    0.0302511
 178 │ TKK/smt                   25710    3749582    cg      128550   7719.35      7719.35      0.81304      1    214.092
 179 │ TKK/smt                   25710    3749582    cr      128550   4.4982       4.4982       0.835253     1    216.193
 180 │ TKK/smt                   25710    3749582    dwgm    128550   30.3606      16236.0      0.927943     1    218.331
 181 │ DNVS/thread               29736    4444880    cg      148680   1.22208e17   1.22208e17   85.7317      1    297.919
 182 │ DNVS/thread               29736    4444880    cr      148680   3.36849e12   3.36849e12   1.43547      1    301.004
 183 │ DNVS/thread               29736    4444880    dwgm    148680   3.25399e13   4.90761e15   1.76495      1    304.591
 184 │ DNVS/ship_001             34920    3896496    cg      174600   1.70057e9    1.70057e9    1.85612      1    373.084
 185 │ DNVS/ship_001             34920    3896496    cr      174600   2.97538e6    2.97538e6    1.8669       1    378.967
 186 │ DNVS/ship_001             34920    3896496    dwgm    174600   2.18365e7    4.08547e10   1.81377      1    384.321
 187 │ ND/nd12k                  36000    14220946   cg      180000   0.0422552    0.0422552    1.16551      1    1169.54
 188 │ ND/nd12k                  36000    14220946   cr      180000   0.00016619   0.00016619   0.421129     1    1175.6
 189 │ ND/nd12k                  36000    14220946   dwgm    180000   0.01826      26.6514      1.85941      1    1184.51
 190 │ Williams/pdb1HYS          36417    4344765    cg      182085   NaN          NaN          NaN          1    386.039
 191 │ Williams/pdb1HYS          36417    4344765    cr      182085   NaN          NaN          NaN          1    374.231
 192 │ Williams/pdb1HYS          36417    4344765    dwgm    182085   NaN          NaN          NaN          1    385.628
 193 │ GHS_psdef/obstclae        40000    197608     cg      1        6.21725e-15  6.66134e-15  2.64233e-14  0    0.000572725
 194 │ GHS_psdef/obstclae        40000    197608     cr      1        1.45439e-14  1.5099e-14   6.79456e-14  0    0.000728492
 195 │ GHS_psdef/obstclae        40000    197608     dwgm    1        9.15934e-15  1.59841e-12  4.08562e-14  0    0.00064437
 196 │ GHS_psdef/torsion1        40000    197608     cg      1        6.21725e-15  6.66134e-15  2.64233e-14  0    0.000570429
 197 │ GHS_psdef/torsion1        40000    197608     cr      1        1.45439e-14  1.5099e-14   6.79456e-14  0    0.000732275
 198 │ GHS_psdef/torsion1        40000    197608     dwgm    1        9.15934e-15  1.59841e-12  4.08562e-14  0    0.000648087
 199 │ GHS_psdef/vanbody         47072    2329056    cg      235360   4.81075e7    4.81075e7    1.31737      1    269.279
 200 │ GHS_psdef/vanbody         47072    2329056    cr      235360   6614.43      6614.43      1.27005      1    277.974
 201 │ GHS_psdef/vanbody         47072    2329056    dwgm    235360   45908.4      4.30963e9    1.24579      1    288.379
 202 │ Boeing/ct20stif           52329    2600295    cg      261645   5289.97      5289.9       1.07044      1    366.003
 203 │ Boeing/ct20stif           52329    2600295    cr      261645   0.935279     0.935279     1.14115      1    371.048
 204 │ Boeing/ct20stif           52329    2600295    dwgm    261645   1.52703      23379.2      1.16593      1    387.203
 205 │ Castrillon/denormal       89400    1156224    cg      447000   1.01832e-11  1.47907e-10  29380.8      1    340.211
 206 │ Castrillon/denormal       89400    1156224    cr      447000   3.41744e-18  3.41805e-18  1.0          1    366.855
 207 │ Castrillon/denormal       89400    1156224    dwgm    447000   2.651e-18    1.30152e-5   31.7799      1    436.716
 208 │ GHS_psdef/s3dkq4m2        90449    4427725    cg      452245   0.0263329    0.0263329    2.96765      1    1116.49
 209 │ GHS_psdef/s3dkq4m2        90449    4427725    cr      452245   0.000167916  0.000167916  1.54833      1    1137.34
